Keyword/Topic,Industry,Region,Year,Numeric Value (in billions),Growth Rate,Key Players,Trends
AI startup funding,AI,Oceania,Q4 2023,0,,,
AI startup funding,AI,Africa,Q4 2023,0,,,
AI startup funding,AI,Latin America,Q4 2023,0,,,
,,,,,,,
AI startup funding,AI,Global,2015,"6,8","50,00%",,
AI startup funding,AI,Global,2016,8,"18,00%",,
AI startup funding,AI,Global,2017,18,"125,00%",,
AI startup funding,AI,Global,2018,"23,5","31,00%",,
AI startup funding,AI,Global,2019,31,"32,00%",,
AI startup funding,AI,Global,2020,"32,7","5,00%",,
AI startup funding,AI,Global,2021,72,"120,00%",,
AI startup funding,AI,Global,2022,"46,6","-35,00%",,
AI startup funding,AI,Global,2023,40,"-14,00%",,
,,,,,,,
,,,,,Name,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,38",ASAPP,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,305",Moveworks,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,226",Poe by Quora,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,214",Observe.ai,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,1906",Ada,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,151",Cresta,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,1233",Woebot Health,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,092",Forethought,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,092",Ushur,,
AI startups Key Players funding raised,chatbot/conversational AI ,Global,2023,"0,0815",Kasisto,,
,,,,,,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"11,3",OpenAI,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,603",Scale AI,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,415",Adept,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,415",Cohere.ai,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,259",Anyscale,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,225",Inflection AI,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,2",Weights & Biases,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,16",Hugging Face,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,132",OctoML,,
AI startups Key Players funding raised,Machine Learning Operations/Platform,Global,2024,"0,119",AI21 Labs,,
,,,,,,,
AI startups Key Players funding raised,LLM AI developer,Global,2023,14,OpenAI,,
AI startups Key Players funding raised,LLM AI developer,Global,2023,"3,4",Anthropic,,
AI startups Key Players funding raised,LLM AI developer,Global,2023,"1,5",Inflection,,
AI startups Key Players funding raised,LLM AI developer,Global,2023,"0,64",Aleph Alpha,,
AI startups Key Players funding raised,LLM AI developer,Global,2023,"0,47",Cohere,,
AI startups Key Players funding raised,LLM AI developer,Global,2023,"0,32",AI21labs,,
AI startups Key Players funding raised,LLM AI developer,Global,2023,"0,14",X1,,
,,,,,,,
,,,,,,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,225,ByteDance,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,43,Databricks,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,29,OpenAI,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,13,Grammarly,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,"12,6",Faire,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,9,Tanium,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,"8,6",Nuro,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,"8,6",Pony.ai,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,"8,5",Anduril,,
AI startups Key Players by valuation,AI Unicorns,Global,2023,"8,3",Laceworks,,
,,,,,,,
AI company funding,AI,Global,2019,"32,5",,,
AI company funding,AI,Global,2020,"33,7","3,70%",,
AI company funding,AI,Global,2021,"74,6","121,00%",,
AI company funding,AI,Global,2022,"47,3","-37,00%",,
AI company funding,AI,Global,2023,"42,5","-10,00%",,
,,,,,,,
AI startup funding,AI,US,Q1 2020,"4,4",,,
AI startup funding,AI,US,Q2 2020,"3,8","-13,64%",,
AI startup funding,AI,US,Q3 2020,"4,6","21,05%",,
AI startup funding,AI,US,Q4 2020,"7,7","67,39%",,
AI startup funding,AI,US,Q1 2021,"13,5","75,32%",,
AI startup funding,AI,US,Q2 2021,"9,5","-29,63%",,
AI startup funding,AI,US,Q3 2021,11,"15,79%",,
AI startup funding,AI,US,Q4 2021,"11,8","7,27%",,
AI startup funding,AI,US,Q1 2022,"9,4","-20,34%",,
AI startup funding,AI,US,Q2 2022,"7,8","-17,02%",,
AI startup funding,AI,US,Q3 2022,"4,8","-38,46%",,
AI startup funding,AI,US,Q4 2022,"5,3","10,42%",,
AI startup funding,AI,US,Q1 2023,14,"164,15%",,
AI startup funding,AI,US,Q2 2023,"6,9","-50,71%",,
AI startup funding,AI,US,Q3 2023,"6,3","-8,70%",,
AI startup funding,AI,US,Q4 2023,"3,8","-39,68%",,
,,,,,,,
,,,,share of respondents exploring AI use cases,business department,,
Trends in business departments,AI use cases,Global,2023,33%,Automation of IT processes,,
Trends in business departments,AI use cases,Global,2023,26%,Security and threat detection,,
Trends in business departments,AI use cases,Global,2023,25%,AI monitoring or governance,,
Trends in business departments,AI use cases,Global,2023,24%,Business analytics or intelligence,,
Trends in business departments,AI use cases,Global,2023,24%,"Automating processing, understanding and flow of documents",,
Trends in business departments,AI use cases,Global,2023,23%,Automating customer or employee self-service answers and actions,,
Trends in business departments,AI use cases,Global,2023,22%,Automation of business processes,,
Trends in business departments,AI use cases,Global,2023,22%,Automation of network processes,,
Trends in business departments,AI use cases,Global,2023,22%,Digital labor,,
Trends in business departments,AI use cases,Global,2023,22%,Marketing and sales,,
Trends in business departments,AI use cases,Global,2023,22%,Fraud detection,,
Trends in business departments,AI use cases,Global,2023,21%,Search and knowledge discovery,,
Trends in business departments,AI use cases,Global,2023,19%,Human resources and talent acquisition,,
Trends in business departments,AI use cases,Global,2023,18%,Financial planning and analysis,,
Trends in business departments,AI use cases,Global,2023,18%,Supply chain intelligence,,
,,,,,,,
,,,,share of respondents,,,
Trends in activities,AI activities forecast,US & Europe,2023,61%,Customer or technical service,,
Trends in activities,AI activities forecast,US & Europe,2023,55%,Product development,,
Trends in activities,AI activities forecast,US & Europe,2023,47%,Developing customized advertising or customer messaging,,
Trends in activities,AI activities forecast,US & Europe,2023,56%,"Support for internal functions (e.g., drafting documents or mining databases)",,
Trends in activities,AI activities forecast,US & Europe,2023,65%,Process automation,,
Trends in activities,AI activities forecast,US & Europe,2023,17%,Recruitment and HR,,
Trends in activities,AI activities forecast,US & Europe,2023,49%,Risk and cybersecurity,,
Trends in activities,AI activities forecast,US & Europe,2023,5%,Other,,
Trends in activities,AI activities forecast,US & Europe,2025,42%,Customer or technical service,,
Trends in activities,AI activities forecast,US & Europe,2025,48%,Product development,,
Trends in activities,AI activities forecast,US & Europe,2025,48%,Developing customized advertising or customer messaging,,
Trends in activities,AI activities forecast,US & Europe,2025,53%,"Support for internal functions (e.g., drafting documents or mining databases)",,
Trends in activities,AI activities forecast,US & Europe,2025,50%,Process automation,,
Trends in activities,AI activities forecast,US & Europe,2025,57%,Recruitment and HR,,
Trends in activities,AI activities forecast,US & Europe,2025,45%,Risk and cybersecurity,,
Trends in activities,AI activities forecast,US & Europe,2025,5%,Other,,
,,,,,,,
,,,,,,,
,,,,share of respondents,,,
Applications of AI by area,AI areas,US,2023,69%,Business operations,,
Applications of AI by area,AI areas,US,2023,63%,Internal/external communications,,
Applications of AI by area,AI areas,US,2023,48%,Financial management/accounting,,
Applications of AI by area,AI areas,US,2023,47%,Human resources/training,,
Applications of AI by area,AI areas,US,2023,40%,Pricing/costing,,
Applications of AI by area,AI areas,US,2023,38%,Product development,,
Applications of AI by area,AI areas,Nordic countries,2023,74%,As part of product / service,,
Applications of AI by area,AI areas,Nordic countries,2023,66%,As part of production or manufacturing process,,
Applications of AI by area,AI areas,Nordic countries,2023,60%,As part of customer care/experience,,
Applications of AI by area,AI areas,Nordic countries,2023,37%,As part of sales & marketing,,
Applications of AI by area,AI areas,Nordic countries,2023,29%,As part of HR,,
Applications of AI by area,AI areas,Nordic countries,2023,17%,Other,,
Applications of AI by area,AI areas,Nordic countries,2023,14%,As part of legal,,
Applications of AI by area,AI areas,Nordic countries,2023,9%,We don't currently use AI,,
,,,,,,,
,,,,share,country,,
Distribution of AI companies,Generative AI,Global,2023,"53,20%",USA,,
Distribution of AI companies,Generative AI,Global,2023,"7,20%",UK,,
Distribution of AI companies,Generative AI,Global,2023,"2,70%",Canada,,
Distribution of AI companies,Generative AI,Global,2023,"2,70%",India,,
Distribution of AI companies,Generative AI,Global,2023,"1,50%",Germany,,
Distribution of AI companies,Generative AI,Global,2023,"2,30%",France,,
Distribution of AI companies,Generative AI,Global,2023,"0,80%",Australia,,
Distribution of AI companies,Generative AI,Global,2023,"29,70%",Others,,
,,,,,,,
,,,,share,country,,
Distribution of AI companies,AI,Global,2023,"34,60%",USA,,
Distribution of AI companies,AI,Global,2023,"7,10%",UK,,
Distribution of AI companies,AI,Global,2023,"4,30%",Canada,,
Distribution of AI companies,AI,Global,2023,"6,70%",India,,
Distribution of AI companies,AI,Global,2023,"3,10%",Germany,,
Distribution of AI companies,AI,Global,2023,"2,00%",France,,
Distribution of AI companies,AI,Global,2023,"2,70%",Japan,,
Distribution of AI companies,AI,Global,2023,"39,50%",Others,,
,,,,,,,
AI market projected size,world,,every year for 10 years,,"17,00%",,
AI market projected size,CV,,every year for 10 years,,"17,00%",,
AI market projected size,ML,,every year for 10 years,,"17,00%",,
AI market projected size,AIR,,every year for 10 years,,"17,00%",,
AI market projected size,AST,,every year for 10 years,,"17,00%",,
AI market projected size,NLP,,every year for 10 years,,"17,00%",,
,,,,,,,
,,,,,,,
,,,,share,,,
Investors shares,Private Equity,Global,2023,"0,045",,,
Investors shares,Incubator / Accelerator,Global,2023,"0,075",,,
Investors shares,Asset / Investment Management,Global,2023,"0,0775",,,
Investors shares,Angel,Global,2023,"0,1",,,
Investors shares,CVC,Global,2023,"0,0975",,,
Investors shares,Corp,Global,2023,"0,1025",,,
Investors shares,Other,Global,2023,"0,1725",,,
Investors shares,VC,Global,2023,"0,3225",,,
